id,title,text,author,label
N0722,You need to see this about cryptocurrency,"Celebrity secretly reveals cryptocurrency is a total hoax, fans are furious.",Unknown,0
N0361,Update on space exploration,Officials confirmed that the space exploration project will proceed as planned next quarter.,Real Author,1
N0031,Update on space exploration,The stock market showed a moderate change following news about space exploration.,Real Author,1
N0261,Update on the new vaccine,Scientists at a leading university published a peer reviewed study on the new vaccine.,Real Author,1
N0638,You need to see this about the election,Doctors HATE this one trick about the election that big companies don't want you to know.,Unknown,0
N0747,You need to see this about climate change,"This miracle cure for climate change was banned by the government, sources say.",Unknown,0
N0571,You need to see this about the economy,Experts are TERRIFIED after new claims about the economy go viral overnight.,Unknown,0
N0216,Update on climate change,The stock market showed a moderate change following news about climate change.,Real Author,1
N0079,Update on climate change,The company released its quarterly earnings report showing growth in climate change.,Real Author,1
N0579,You need to see this about artificial intelligence,Experts are TERRIFIED after new claims about artificial intelligence go viral overnight.,Unknown,0
N0384,Update on renewable energy,The company released its quarterly earnings report showing growth in renewable energy.,Real Author,1
N0040,Update on the new vaccine,A new report from the health ministry outlines updated guidelines for the new vaccine.,Real Author,1
N0024,Update on renewable energy,A new report from the health ministry outlines updated guidelines for renewable energy.,Real Author,1
N0693,You need to see this about the election,Doctors HATE this one trick about the election that big companies don't want you to know.,Unknown,0
N0399,Update on artificial intelligence,Scientists at a leading university published a peer reviewed study on artificial intelligence.,Real Author,1
N0797,You need to see this about the economy,Doctors HATE this one trick about the economy that big companies don't want you to know.,Unknown,0
N0742,You need to see this about climate change,Experts are TERRIFIED after new claims about climate change go viral overnight.,Unknown,0
N0140,Update on the new vaccine,Officials confirmed that the the new vaccine project will proceed as planned next quarter.,Real Author,1
N0251,Update on space exploration,The stock market showed a moderate change following news about space exploration.,Real Author,1
N0175,Update on artificial intelligence,The government announced a new policy on artificial intelligence today after a cabinet meeting.,Real Author,1
N0324,Update on the economy,A new report from the health ministry outlines updated guidelines for the economy.,Real Author,1
N0596,You need to see this about the new vaccine,SHOCKING: You won't believe what the new vaccine is secretly hiding from you!!!,Unknown,0
N0526,You need to see this about the education system,Doctors HATE this one trick about the education system that big companies don't want you to know.,Unknown,0
N0424,You need to see this about space exploration,SHOCKING: You won't believe what space exploration is secretly hiding from you!!!,Unknown,0
N0597,You need to see this about cryptocurrency,"This miracle cure for cryptocurrency was banned by the government, sources say.",Unknown,0
N0605,You need to see this about the election,Experts are TERRIFIED after new claims about the election go viral overnight.,Unknown,0
N0535,You need to see this about climate change,"This miracle cure for climate change was banned by the government, sources say.",Unknown,0
N0266,Update on the housing market,A new report from the health ministry outlines updated guidelines for the housing market.,Real Author,1
N0110,Update on climate change,The company released its quarterly earnings report showing growth in climate change.,Real Author,1
N0667,You need to see this about artificial intelligence,Experts are TERRIFIED after new claims about artificial intelligence go viral overnight.,Unknown,0
N0295,Update on space exploration,The government announced a new policy on space exploration today after a cabinet meeting.,Real Author,1
N0337,Update on the new vaccine,A new report from the health ministry outlines updated guidelines for the new vaccine.,Real Author,1
N0369,Update on the housing market,Officials confirmed that the the housing market project will proceed as planned next quarter.,Real Author,1
N0447,You need to see this about the economy,"BREAKING: Aliens confirmed to be behind the the economy conspiracy, insiders claim.",Unknown,0
N0334,Update on artificial intelligence,The company released its quarterly earnings report showing growth in artificial intelligence.,Real Author,1
N0199,Update on the housing market,The stock market showed a moderate change following news about the housing market.,Real Author,1
N0169,Update on the education system,The stock market showed a moderate change following news about the education system.,Real Author,1
N0482,You need to see this about the new vaccine,"BREAKING: Aliens confirmed to be behind the the new vaccine conspiracy, insiders claim.",Unknown,0
N0724,You need to see this about cryptocurrency,"Celebrity secretly reveals cryptocurrency is a total hoax, fans are furious.",Unknown,0
N0656,You need to see this about cryptocurrency,Doctors HATE this one trick about cryptocurrency that big companies don't want you to know.,Unknown,0
N0307,Update on renewable energy,The company released its quarterly earnings report showing growth in renewable energy.,Real Author,1
N0232,Update on space exploration,Officials confirmed that the space exploration project will proceed as planned next quarter.,Real Author,1
N0423,You need to see this about the election,"BREAKING: Aliens confirmed to be behind the the election conspiracy, insiders claim.",Unknown,0
N0050,Update on artificial intelligence,Scientists at a leading university published a peer reviewed study on artificial intelligence.,Real Author,1
N0788,You need to see this about space exploration,"Celebrity secretly reveals space exploration is a total hoax, fans are furious.",Unknown,0
N0358,Update on the new vaccine,Scientists at a leading university published a peer reviewed study on the new vaccine.,Real Author,1
N0087,Update on the economy,The government announced a new policy on the economy today after a cabinet meeting.,Real Author,1
N0546,You need to see this about the election,"This miracle cure for the election was banned by the government, sources say.",Unknown,0
N0193,Update on the election,The stock market showed a moderate change following news about the election.,Real Author,1
N0796,You need to see this about cryptocurrency,SHOCKING: You won't believe what cryptocurrency is secretly hiding from you!!!,Unknown,0
N0034,Update on the election,Officials confirmed that the the election project will proceed as planned next quarter.,Real Author,1
N0032,Update on climate change,Scientists at a leading university published a peer reviewed study on climate change.,Real Author,1
N0200,Update on the economy,The government announced a new policy on the economy today after a cabinet meeting.,Real Author,1
N0366,Update on the election,The government announced a new policy on the election today after a cabinet meeting.,Real Author,1
N0487,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0595,You need to see this about the new vaccine,Doctors HATE this one trick about the new vaccine that big companies don't want you to know.,Unknown,0
N0569,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0429,You need to see this about space exploration,Experts are TERRIFIED after new claims about space exploration go viral overnight.,Unknown,0
N0138,Update on the education system,The government announced a new policy on the education system today after a cabinet meeting.,Real Author,1
N0073,Update on artificial intelligence,The government announced a new policy on artificial intelligence today after a cabinet meeting.,Real Author,1
N0078,Update on the new vaccine,A new report from the health ministry outlines updated guidelines for the new vaccine.,Real Author,1
N0513,You need to see this about the housing market,"Celebrity secretly reveals the housing market is a total hoax, fans are furious.",Unknown,0
N0784,You need to see this about renewable energy,Experts are TERRIFIED after new claims about renewable energy go viral overnight.,Unknown,0
N0787,You need to see this about the housing market,"BREAKING: Aliens confirmed to be behind the the housing market conspiracy, insiders claim.",Unknown,0
N0276,Update on climate change,The stock market showed a moderate change following news about climate change.,Real Author,1
N0362,Update on the election,The stock market showed a moderate change following news about the election.,Real Author,1
N0097,Update on the education system,A new report from the health ministry outlines updated guidelines for the education system.,Real Author,1
N0642,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0716,You need to see this about climate change,"This miracle cure for climate change was banned by the government, sources say.",Unknown,0
N0282,Update on the economy,The government announced a new policy on the economy today after a cabinet meeting.,Real Author,1
N0394,Update on renewable energy,Scientists at a leading university published a peer reviewed study on renewable energy.,Real Author,1
N0629,You need to see this about the economy,"BREAKING: Aliens confirmed to be behind the the economy conspiracy, insiders claim.",Unknown,0
N0609,You need to see this about the election,Experts are TERRIFIED after new claims about the election go viral overnight.,Unknown,0
N0706,You need to see this about renewable energy,"BREAKING: Aliens confirmed to be behind the renewable energy conspiracy, insiders claim.",Unknown,0
N0755,You need to see this about renewable energy,Doctors HATE this one trick about renewable energy that big companies don't want you to know.,Unknown,0
N0055,Update on the education system,A new report from the health ministry outlines updated guidelines for the education system.,Real Author,1
N0751,You need to see this about cryptocurrency,"BREAKING: Aliens confirmed to be behind the cryptocurrency conspiracy, insiders claim.",Unknown,0
N0156,Update on renewable energy,A new report from the health ministry outlines updated guidelines for renewable energy.,Real Author,1
N0433,You need to see this about climate change,Doctors HATE this one trick about climate change that big companies don't want you to know.,Unknown,0
N0098,Update on the housing market,Scientists at a leading university published a peer reviewed study on the housing market.,Real Author,1
N0121,Update on space exploration,The government announced a new policy on space exploration today after a cabinet meeting.,Real Author,1
N0077,Update on the election,A new report from the health ministry outlines updated guidelines for the election.,Real Author,1
N0205,Update on the economy,The government announced a new policy on the economy today after a cabinet meeting.,Real Author,1
N0353,Update on artificial intelligence,Scientists at a leading university published a peer reviewed study on artificial intelligence.,Real Author,1
N0765,You need to see this about the new vaccine,"BREAKING: Aliens confirmed to be behind the the new vaccine conspiracy, insiders claim.",Unknown,0
N0209,Update on cryptocurrency,A new report from the health ministry outlines updated guidelines for cryptocurrency.,Real Author,1
N0368,Update on the election,A new report from the health ministry outlines updated guidelines for the election.,Real Author,1
N0426,You need to see this about climate change,Experts are TERRIFIED after new claims about climate change go viral overnight.,Unknown,0
N0516,You need to see this about the election,"BREAKING: Aliens confirmed to be behind the the election conspiracy, insiders claim.",Unknown,0
N0085,Update on the economy,A new report from the health ministry outlines updated guidelines for the economy.,Real Author,1
N0011,Update on the education system,Scientists at a leading university published a peer reviewed study on the education system.,Real Author,1
N0721,You need to see this about the election,"Celebrity secretly reveals the election is a total hoax, fans are furious.",Unknown,0
N0111,Update on the economy,Scientists at a leading university published a peer reviewed study on the economy.,Real Author,1
N0522,You need to see this about artificial intelligence,"Celebrity secretly reveals artificial intelligence is a total hoax, fans are furious.",Unknown,0
N0778,You need to see this about artificial intelligence,"Celebrity secretly reveals artificial intelligence is a total hoax, fans are furious.",Unknown,0
N0210,Update on the new vaccine,Officials confirmed that the the new vaccine project will proceed as planned next quarter.,Real Author,1
N0236,Update on the education system,Officials confirmed that the the education system project will proceed as planned next quarter.,Real Author,1
N0317,Update on space exploration,The government announced a new policy on space exploration today after a cabinet meeting.,Real Author,1
N0389,Update on the education system,Officials confirmed that the the education system project will proceed as planned next quarter.,Real Author,1
N0119,Update on renewable energy,Scientists at a leading university published a peer reviewed study on renewable energy.,Real Author,1
N0720,You need to see this about climate change,Doctors HATE this one trick about climate change that big companies don't want you to know.,Unknown,0
N0211,Update on the new vaccine,The government announced a new policy on the new vaccine today after a cabinet meeting.,Real Author,1
N0255,Update on climate change,The company released its quarterly earnings report showing growth in climate change.,Real Author,1
N0592,You need to see this about the housing market,Doctors HATE this one trick about the housing market that big companies don't want you to know.,Unknown,0
N0030,Update on climate change,The government announced a new policy on climate change today after a cabinet meeting.,Real Author,1
N0267,Update on the economy,The stock market showed a moderate change following news about the economy.,Real Author,1
N0657,You need to see this about climate change,Experts are TERRIFIED after new claims about climate change go viral overnight.,Unknown,0
N0663,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0297,Update on renewable energy,The company released its quarterly earnings report showing growth in renewable energy.,Real Author,1
N0082,Update on space exploration,Scientists at a leading university published a peer reviewed study on space exploration.,Real Author,1
N0689,You need to see this about space exploration,"Celebrity secretly reveals space exploration is a total hoax, fans are furious.",Unknown,0
N0303,Update on the new vaccine,The company released its quarterly earnings report showing growth in the new vaccine.,Real Author,1
N0507,You need to see this about renewable energy,"BREAKING: Aliens confirmed to be behind the renewable energy conspiracy, insiders claim.",Unknown,0
N0759,You need to see this about cryptocurrency,Doctors HATE this one trick about cryptocurrency that big companies don't want you to know.,Unknown,0
N0315,Update on the housing market,The company released its quarterly earnings report showing growth in the housing market.,Real Author,1
N0645,You need to see this about artificial intelligence,SHOCKING: You won't believe what artificial intelligence is secretly hiding from you!!!,Unknown,0
N0410,You need to see this about renewable energy,Experts are TERRIFIED after new claims about renewable energy go viral overnight.,Unknown,0
N0212,Update on the election,The stock market showed a moderate change following news about the election.,Real Author,1
N0533,You need to see this about the education system,"This miracle cure for the education system was banned by the government, sources say.",Unknown,0
N0484,You need to see this about the economy,Doctors HATE this one trick about the economy that big companies don't want you to know.,Unknown,0
N0219,Update on the new vaccine,Scientists at a leading university published a peer reviewed study on the new vaccine.,Real Author,1
N0008,Update on climate change,Scientists at a leading university published a peer reviewed study on climate change.,Real Author,1
N0465,You need to see this about climate change,Doctors HATE this one trick about climate change that big companies don't want you to know.,Unknown,0
N0102,Update on artificial intelligence,Officials confirmed that the artificial intelligence project will proceed as planned next quarter.,Real Author,1
N0327,Update on the election,Officials confirmed that the the election project will proceed as planned next quarter.,Real Author,1
N0653,You need to see this about space exploration,"This miracle cure for space exploration was banned by the government, sources say.",Unknown,0
N0538,You need to see this about the election,"Celebrity secretly reveals the election is a total hoax, fans are furious.",Unknown,0
N0641,You need to see this about artificial intelligence,SHOCKING: You won't believe what artificial intelligence is secretly hiding from you!!!,Unknown,0
N0003,Update on space exploration,Scientists at a leading university published a peer reviewed study on space exploration.,Real Author,1
N0739,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0777,You need to see this about the election,Experts are TERRIFIED after new claims about the election go viral overnight.,Unknown,0
N0520,You need to see this about the housing market,SHOCKING: You won't believe what the housing market is secretly hiding from you!!!,Unknown,0
N0590,You need to see this about the economy,"BREAKING: Aliens confirmed to be behind the the economy conspiracy, insiders claim.",Unknown,0
N0799,You need to see this about the new vaccine,"BREAKING: Aliens confirmed to be behind the the new vaccine conspiracy, insiders claim.",Unknown,0
N0745,You need to see this about cryptocurrency,"Celebrity secretly reveals cryptocurrency is a total hoax, fans are furious.",Unknown,0
N0514,You need to see this about the economy,"This miracle cure for the economy was banned by the government, sources say.",Unknown,0
N0671,You need to see this about climate change,"This miracle cure for climate change was banned by the government, sources say.",Unknown,0
N0265,Update on cryptocurrency,The stock market showed a moderate change following news about cryptocurrency.,Real Author,1
N0616,You need to see this about artificial intelligence,"Celebrity secretly reveals artificial intelligence is a total hoax, fans are furious.",Unknown,0
N0330,Update on space exploration,Officials confirmed that the space exploration project will proceed as planned next quarter.,Real Author,1
N0343,Update on renewable energy,Scientists at a leading university published a peer reviewed study on renewable energy.,Real Author,1
N0395,Update on renewable energy,A new report from the health ministry outlines updated guidelines for renewable energy.,Real Author,1
N0080,Update on the election,The company released its quarterly earnings report showing growth in the election.,Real Author,1
N0149,Update on renewable energy,Scientists at a leading university published a peer reviewed study on renewable energy.,Real Author,1
N0351,Update on the economy,The company released its quarterly earnings report showing growth in the economy.,Real Author,1
N0383,Update on artificial intelligence,The company released its quarterly earnings report showing growth in artificial intelligence.,Real Author,1
N0441,You need to see this about the new vaccine,Experts are TERRIFIED after new claims about the new vaccine go viral overnight.,Unknown,0
N0310,Update on the election,Scientists at a leading university published a peer reviewed study on the election.,Real Author,1
N0708,You need to see this about climate change,"This miracle cure for climate change was banned by the government, sources say.",Unknown,0
N0134,Update on the election,Officials confirmed that the the election project will proceed as planned next quarter.,Real Author,1
N0382,Update on climate change,Officials confirmed that the climate change project will proceed as planned next quarter.,Real Author,1
N0214,Update on space exploration,The company released its quarterly earnings report showing growth in space exploration.,Real Author,1
N0660,You need to see this about the housing market,SHOCKING: You won't believe what the housing market is secretly hiding from you!!!,Unknown,0
N0056,Update on the election,The company released its quarterly earnings report showing growth in the election.,Real Author,1
N0737,You need to see this about the election,"BREAKING: Aliens confirmed to be behind the the election conspiracy, insiders claim.",Unknown,0
N0621,You need to see this about the economy,"Celebrity secretly reveals the economy is a total hoax, fans are furious.",Unknown,0
N0583,You need to see this about the election,Doctors HATE this one trick about the election that big companies don't want you to know.,Unknown,0
N0674,You need to see this about artificial intelligence,Doctors HATE this one trick about artificial intelligence that big companies don't want you to know.,Unknown,0
N0528,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0197,Update on renewable energy,The stock market showed a moderate change following news about renewable energy.,Real Author,1
N0714,You need to see this about renewable energy,"This miracle cure for renewable energy was banned by the government, sources say.",Unknown,0
N0690,You need to see this about space exploration,Doctors HATE this one trick about space exploration that big companies don't want you to know.,Unknown,0
N0061,Update on renewable energy,The government announced a new policy on renewable energy today after a cabinet meeting.,Real Author,1
N0577,You need to see this about climate change,"BREAKING: Aliens confirmed to be behind the climate change conspiracy, insiders claim.",Unknown,0
N0632,You need to see this about the new vaccine,SHOCKING: You won't believe what the new vaccine is secretly hiding from you!!!,Unknown,0
N0432,You need to see this about cryptocurrency,"BREAKING: Aliens confirmed to be behind the cryptocurrency conspiracy, insiders claim.",Unknown,0
N0604,You need to see this about the economy,"This miracle cure for the economy was banned by the government, sources say.",Unknown,0
N0443,You need to see this about the economy,"Celebrity secretly reveals the economy is a total hoax, fans are furious.",Unknown,0
N0437,You need to see this about the education system,Doctors HATE this one trick about the education system that big companies don't want you to know.,Unknown,0
N0248,Update on the election,The government announced a new policy on the election today after a cabinet meeting.,Real Author,1
N0587,You need to see this about the new vaccine,Experts are TERRIFIED after new claims about the new vaccine go viral overnight.,Unknown,0
N0570,You need to see this about the education system,"This miracle cure for the education system was banned by the government, sources say.",Unknown,0
N0091,Update on climate change,The government announced a new policy on climate change today after a cabinet meeting.,Real Author,1
N0651,You need to see this about the housing market,Experts are TERRIFIED after new claims about the housing market go viral overnight.,Unknown,0
N0182,Update on climate change,Scientists at a leading university published a peer reviewed study on climate change.,Real Author,1
N0791,You need to see this about the election,Experts are TERRIFIED after new claims about the election go viral overnight.,Unknown,0
N0555,You need to see this about artificial intelligence,"Celebrity secretly reveals artificial intelligence is a total hoax, fans are furious.",Unknown,0
N0291,Update on the housing market,Scientists at a leading university published a peer reviewed study on the housing market.,Real Author,1
N0159,Update on climate change,Scientists at a leading university published a peer reviewed study on climate change.,Real Author,1
N0070,Update on the economy,The company released its quarterly earnings report showing growth in the economy.,Real Author,1
N0518,You need to see this about the education system,SHOCKING: You won't believe what the education system is secretly hiding from you!!!,Unknown,0
N0132,Update on renewable energy,Scientists at a leading university published a peer reviewed study on renewable energy.,Real Author,1
N0045,Update on artificial intelligence,The government announced a new policy on artificial intelligence today after a cabinet meeting.,Real Author,1
N0071,Update on climate change,The company released its quarterly earnings report showing growth in climate change.,Real Author,1
N0692,You need to see this about cryptocurrency,SHOCKING: You won't believe what cryptocurrency is secretly hiding from you!!!,Unknown,0
N0356,Update on space exploration,Scientists at a leading university published a peer reviewed study on space exploration.,Real Author,1
N0445,You need to see this about renewable energy,"This miracle cure for renewable energy was banned by the government, sources say.",Unknown,0
N0762,You need to see this about the education system,SHOCKING: You won't believe what the education system is secretly hiding from you!!!,Unknown,0
N0136,Update on renewable energy,A new report from the health ministry outlines updated guidelines for renewable energy.,Real Author,1
N0083,Update on artificial intelligence,Scientists at a leading university published a peer reviewed study on artificial intelligence.,Real Author,1
N0166,Update on cryptocurrency,The government announced a new policy on cryptocurrency today after a cabinet meeting.,Real Author,1
N0165,Update on cryptocurrency,The government announced a new policy on cryptocurrency today after a cabinet meeting.,Real Author,1
N0029,Update on cryptocurrency,Scientists at a leading university published a peer reviewed study on cryptocurrency.,Real Author,1
N0449,You need to see this about climate change,"This miracle cure for climate change was banned by the government, sources say.",Unknown,0
N0194,Update on cryptocurrency,Scientists at a leading university published a peer reviewed study on cryptocurrency.,Real Author,1
N0240,Update on cryptocurrency,The stock market showed a moderate change following news about cryptocurrency.,Real Author,1
N0725,You need to see this about the election,"This miracle cure for the election was banned by the government, sources say.",Unknown,0
N0731,You need to see this about renewable energy,Doctors HATE this one trick about renewable energy that big companies don't want you to know.,Unknown,0
N0137,Update on climate change,The government announced a new policy on climate change today after a cabinet meeting.,Real Author,1
N0665,You need to see this about the education system,Doctors HATE this one trick about the education system that big companies don't want you to know.,Unknown,0
N0312,Update on artificial intelligence,A new report from the health ministry outlines updated guidelines for artificial intelligence.,Real Author,1
N0141,Update on renewable energy,Officials confirmed that the renewable energy project will proceed as planned next quarter.,Real Author,1
N0474,You need to see this about space exploration,"BREAKING: Aliens confirmed to be behind the space exploration conspiracy, insiders claim.",Unknown,0
N0007,Update on the economy,The government announced a new policy on the economy today after a cabinet meeting.,Real Author,1
N0729,You need to see this about the education system,Experts are TERRIFIED after new claims about the education system go viral overnight.,Unknown,0
N0756,You need to see this about climate change,"BREAKING: Aliens confirmed to be behind the climate change conspiracy, insiders claim.",Unknown,0
N0074,Update on the election,Officials confirmed that the the election project will proceed as planned next quarter.,Real Author,1
N0560,You need to see this about the housing market,Doctors HATE this one trick about the housing market that big companies don't want you to know.,Unknown,0
N0300,Update on renewable energy,A new report from the health ministry outlines updated guidelines for renewable energy.,Real Author,1
N0146,Update on renewable energy,The stock market showed a moderate change following news about renewable energy.,Real Author,1
N0293,Update on the education system,Officials confirmed that the the education system project will proceed as planned next quarter.,Real Author,1
N0235,Update on artificial intelligence,The company released its quarterly earnings report showing growth in artificial intelligence.,Real Author,1
N0221,Update on the housing market,The government announced a new policy on the housing market today after a cabinet meeting.,Real Author,1
N0451,You need to see this about cryptocurrency,Experts are TERRIFIED after new claims about cryptocurrency go viral overnight.,Unknown,0
N0381,Update on the housing market,Officials confirmed that the the housing market project will proceed as planned next quarter.,Real Author,1
N0133,Update on the housing market,Scientists at a leading university published a peer reviewed study on the housing market.,Real Author,1
N0376,Update on artificial intelligence,A new report from the health ministry outlines updated guidelines for artificial intelligence.,Real Author,1
N0405,You need to see this about the economy,"Celebrity secretly reveals the economy is a total hoax, fans are furious.",Unknown,0
N0523,You need to see this about renewable energy,Experts are TERRIFIED after new claims about renewable energy go viral overnight.,Unknown,0
N0750,You need to see this about the economy,"BREAKING: Aliens confirmed to be behind the the economy conspiracy, insiders claim.",Unknown,0
N0427,You need to see this about the education system,Experts are TERRIFIED after new claims about the education system go viral overnight.,Unknown,0
N0042,Update on renewable energy,Officials confirmed that the renewable energy project will proceed as planned next quarter.,Real Author,1
N0496,You need to see this about the election,SHOCKING: You won't believe what the election is secretly hiding from you!!!,Unknown,0
N0109,Update on space exploration,The government announced a new policy on space exploration today after a cabinet meeting.,Real Author,1
N0345,Update on the housing market,The stock market showed a moderate change following news about the housing market.,Real Author,1
N0057,Update on cryptocurrency,Officials confirmed that the cryptocurrency project will proceed as planned next quarter.,Real Author,1
N0260,Update on the election,A new report from the health ministry outlines updated guidelines for the election.,Real Author,1
N0480,You need to see this about climate change,"Celebrity secretly reveals climate change is a total hoax, fans are furious.",Unknown,0
N0626,You need to see this about the election,Experts are TERRIFIED after new claims about the election go viral overnight.,Unknown,0
N0228,Update on space exploration,Scientists at a leading university published a peer reviewed study on space exploration.,Real Author,1
N0213,Update on the economy,The stock market showed a moderate change following news about the economy.,Real Author,1
N0594,You need to see this about the housing market,"Celebrity secretly reveals the housing market is a total hoax, fans are furious.",Unknown,0
N0333,Update on the economy,Officials confirmed that the the economy project will proceed as planned next quarter.,Real Author,1
N0025,Update on climate change,Officials confirmed that the climate change project will proceed as planned next quarter.,Real Author,1
N0781,You need to see this about the new vaccine,"Celebrity secretly reveals the new vaccine is a total hoax, fans are furious.",Unknown,0
N0352,Update on the education system,The government announced a new policy on the education system today after a cabinet meeting.,Real Author,1
N0357,Update on the economy,A new report from the health ministry outlines updated guidelines for the economy.,Real Author,1
N0052,Update on renewable energy,Scientists at a leading university published a peer reviewed study on renewable energy.,Real Author,1
N0332,Update on the housing market,Officials confirmed that the the housing market project will proceed as planned next quarter.,Real Author,1
N0734,You need to see this about the housing market,Experts are TERRIFIED after new claims about the housing market go viral overnight.,Unknown,0
N0630,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0502,You need to see this about renewable energy,"Celebrity secretly reveals renewable energy is a total hoax, fans are furious.",Unknown,0
N0335,Update on the housing market,The company released its quarterly earnings report showing growth in the housing market.,Real Author,1
N0286,Update on cryptocurrency,Scientists at a leading university published a peer reviewed study on cryptocurrency.,Real Author,1
N0019,Update on climate change,The government announced a new policy on climate change today after a cabinet meeting.,Real Author,1
N0585,You need to see this about climate change,Experts are TERRIFIED after new claims about climate change go viral overnight.,Unknown,0
N0749,You need to see this about the housing market,Experts are TERRIFIED after new claims about the housing market go viral overnight.,Unknown,0
N0084,Update on the education system,A new report from the health ministry outlines updated guidelines for the education system.,Real Author,1
N0062,Update on the economy,The government announced a new policy on the economy today after a cabinet meeting.,Real Author,1
N0463,You need to see this about cryptocurrency,"Celebrity secretly reveals cryptocurrency is a total hoax, fans are furious.",Unknown,0
N0292,Update on the new vaccine,The company released its quarterly earnings report showing growth in the new vaccine.,Real Author,1
N0448,You need to see this about renewable energy,SHOCKING: You won't believe what renewable energy is secretly hiding from you!!!,Unknown,0
N0183,Update on artificial intelligence,The stock market showed a moderate change following news about artificial intelligence.,Real Author,1
N0550,You need to see this about the election,"Celebrity secretly reveals the election is a total hoax, fans are furious.",Unknown,0
N0501,You need to see this about the economy,Doctors HATE this one trick about the economy that big companies don't want you to know.,Unknown,0
N0224,Update on space exploration,The stock market showed a moderate change following news about space exploration.,Real Author,1
N0425,You need to see this about space exploration,"BREAKING: Aliens confirmed to be behind the space exploration conspiracy, insiders claim.",Unknown,0
N0468,You need to see this about space exploration,Doctors HATE this one trick about space exploration that big companies don't want you to know.,Unknown,0
N0320,Update on renewable energy,Officials confirmed that the renewable energy project will proceed as planned next quarter.,Real Author,1
N0329,Update on the education system,A new report from the health ministry outlines updated guidelines for the education system.,Real Author,1
N0444,You need to see this about the election,"This miracle cure for the election was banned by the government, sources say.",Unknown,0
N0494,You need to see this about the economy,"This miracle cure for the economy was banned by the government, sources say.",Unknown,0
N0177,Update on cryptocurrency,A new report from the health ministry outlines updated guidelines for cryptocurrency.,Real Author,1
N0677,You need to see this about climate change,Experts are TERRIFIED after new claims about climate change go viral overnight.,Unknown,0
N0364,Update on cryptocurrency,The company released its quarterly earnings report showing growth in cryptocurrency.,Real Author,1
N0164,Update on space exploration,A new report from the health ministry outlines updated guidelines for space exploration.,Real Author,1
N0249,Update on the housing market,The government announced a new policy on the housing market today after a cabinet meeting.,Real Author,1
N0519,You need to see this about the education system,"This miracle cure for the education system was banned by the government, sources say.",Unknown,0
N0711,You need to see this about the education system,"BREAKING: Aliens confirmed to be behind the the education system conspiracy, insiders claim.",Unknown,0
